FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,36,NEW YORK,NY,Albany,36001,"Albany County, New York",522.814401957,307891.0,0.0,138448.0,372.0,124108.0,805.0,37749.0,1946.0,9643.0,717.0,33888.0,631.0,14881.0,848.0,46841.0,37.0,58531.0,35.0,33304.0,1274.0,8917.0,591.1,81214.0,292.0,4877.0,647.7,16214.0,815.5,1819.0,240.0,1103.0,201.0,15995.0,767.0,17182.0,869.0,12.9,0.7,5.8,0.4,33888.0,631.0,7.3,0.4,15.2,0.1,19.0,0.0,11.0,0.4,7.2,0.5,26.4,0.1,1.7,0.2,11.7,0.6,1.3,0.2,0.9,0.2,12.9,0.6,5.6,0.3,0.3443,0.1639,0.1311,0.0328,0.6721,0.082,0.2295,0.1967,0.1639,0.1311,0.7213,0.0328,0.7869,0.7377,1.5246,0.7869,0.8689,0.2131,0.0328,0.8361,0.7377,2.6885,0.5574,5.6066,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16323.0,1220.0,5.4,0.4,409639.0
1,36,NEW YORK,NY,Broome,36007,"Broome County, New York",705.789506172,197381.0,0.0,89919.0,290.0,78738.0,763.0,32624.0,1687.0,7104.0,516.0,25880.0,441.0,12788.0,823.0,34712.0,37.0,38845.0,0.0,29392.0,1043.0,7112.0,510.0,30566.0,90.0,2203.0,354.0,7185.0,463.0,4429.0,350.0,1066.0,224.2,9643.0,552.0,10407.0,606.0,17.4,0.9,7.4,0.5,25880.0,441.0,9.8,0.6,17.6,0.1,19.7,0.0,15.1,0.5,9.0,0.6,15.5,0.0,1.2,0.2,8.0,0.5,4.9,0.4,1.4,0.3,12.2,0.7,5.3,0.3,0.8361,0.5738,0.6066,0.2623,2.2787,0.5902,0.7213,0.2295,0.6885,0.6066,2.2459,0.6066,0.5902,0.6066,1.1967,0.6393,0.7541,0.3115,0.2951,0.8033,0.6557,2.8197,0.623,8.541,0.7377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11230.0,906.0,5.8,0.5,213391.0
2,36,NEW YORK,NY,Chemung,36015,"Chemung County, New York",407.35253014,87742.0,0.0,38372.0,194.0,34887.0,480.0,13179.0,1088.0,2244.0,253.0,26196.0,751.0,5909.0,489.0,14732.0,75.0,19221.0,70.0,11755.0,629.0,3536.0,374.2,11742.0,60.0,228.0,117.3,2196.0,241.4,2083.0,208.0,336.0,117.6,4179.0,364.0,4851.0,445.0,15.9,1.3,5.6,0.6,26196.0,751.0,9.8,0.8,16.8,0.1,21.9,0.1,14.0,0.7,10.1,1.1,13.4,0.1,0.3,0.1,5.7,0.6,5.4,0.5,1.0,0.3,12.0,1.0,5.5,0.5,0.7049,0.1475,0.5738,0.2623,1.6885,0.4098,0.541,0.7049,0.541,0.7869,2.5738,0.8689,0.541,0.0328,0.5738,0.3115,0.6066,0.3443,0.0656,0.7869,0.7213,2.5246,0.4754,7.3607,0.4754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5342.0,660.0,6.3,0.8,89494.0
3,36,NEW YORK,NY,Cortland,36023,"Cortland County, New York",498.772655903,48713.0,0.0,20492.0,147.0,17683.0,338.0,6209.0,616.0,1327.0,202.0,24665.0,728.0,2925.0,302.0,7394.0,110.0,9606.0,67.0,6159.0,439.0,1656.0,232.9,3479.0,117.0,245.0,111.9,1157.0,186.4,1582.0,142.0,188.0,76.5,1644.0,212.0,3510.0,322.0,13.8,1.3,5.2,0.8,24665.0,728.0,9.6,1.0,15.2,0.2,19.7,0.1,12.8,0.9,9.4,1.3,7.1,0.2,0.5,0.2,5.6,0.9,7.7,0.7,1.1,0.4,9.3,1.1,7.2,0.7,0.4426,0.0328,0.7869,0.2131,1.4754,0.3443,0.2295,0.2459,0.2787,0.6721,1.4262,0.1967,0.2295,0.2295,0.459,0.1803,0.5902,0.5082,0.1311,0.4918,0.8197,2.541,0.4918,5.9016,0.1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827.0,414.0,5.9,0.9,48153.0
4,36,NEW YORK,NY,Dutchess,36027,"Dutchess County, New York",795.63196704,295905.0,0.0,119023.0,409.0,106949.0,932.0,25562.0,1765.0,11899.0,866.0,35101.0,709.0,19997.0,1052.0,45771.0,37.0,59765.0,0.0,37936.0,1203.0,7937.0,582.4,81065.0,334.0,5670.0,620.5,9153.0,606.3,4176.0,363.0,3801.0,504.7,9072.0,632.0,18563.0,908.0,9.2,0.6,7.6,0.5,35101.0,709.0,9.9,0.5,15.5,0.1,20.2,0.0,13.2,0.4,7.4,0.5,27.4,0.1,2.0,0.2,7.7,0.5,3.5,0.3,3.6,0.5,8.5,0.6,6.3,0.3,0.0656,0.6557,0.1148,0.3607,1.1967,0.1967,0.3115,0.3279,0.3934,0.2295,1.2623,0.1148,0.8197,0.7705,1.5902,0.8033,0.7213,0.2787,0.8525,0.4098,0.7541,3.0164,0.7541,7.0656,0.4262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19132.0,1031.0,6.6,0.4,283322.0
5,36,NEW YORK,NY,Erie,36029,"Erie County, New York",1042.69719591,922129.0,0.0,421361.0,551.0,382822.0,1376.0,132072.0,4042.0,28965.0,1054.0,29940.0,316.0,58410.0,1342.0,152494.0,28.0,191332.0,0.0,119049.0,1815.0,36560.0,1175.5,218306.0,322.0,13884.0,910.0,33460.0,1040.9,5628.0,402.0,4096.0,489.5,51465.0,1339.0,27901.0,1026.0,14.7,0.4,6.1,0.2,29940.0,316.0,9.2,0.2,16.5,0.1,20.7,0.0,13.1,0.2,9.6,0.3,23.7,0.0,1.6,0.1,7.9,0.2,1.3,0.1,1.1,0.1,13.4,0.3,3.0,0.1,0.5902,0.2131,0.2951,0.1639,1.2623,0.2131,0.4754,0.5082,0.3443,0.7213,2.0492,0.4754,0.7541,0.7049,1.459,0.7213,0.7377,0.2131,0.1475,0.8689,0.4098,2.377,0.4262,7.1475,0.4426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43995.0,1612.0,4.8,0.2,1013796.0
6,36,NEW YORK,NY,Genesee,36037,"Genesee County, New York",492.935648879,59053.0,0.0,25657.0,90.0,23825.0,284.0,7245.0,743.0,1712.0,239.0,26381.0,593.0,3759.0,360.0,10272.0,71.0,12317.0,0.0,7980.0,553.0,1880.0,238.8,5375.0,35.0,275.0,114.1,1093.0,168.4,1658.0,233.0,194.0,60.8,1695.0,203.0,801.0,174.0,12.5,1.3,5.4,0.8,26381.0,593.0,9.1,0.9,17.4,0.1,20.9,0.0,13.6,0.9,7.9,1.0,9.1,0.1,0.5,0.2,4.3,0.7,6.5,0.9,0.8,0.3,7.1,0.8,1.4,0.3,0.2951,0.0656,0.5246,0.1148,1.0,0.1475,0.6557,0.5246,0.459,0.3115,1.9508,0.377,0.377,0.1639,0.541,0.2459,0.4754,0.3934,0.0164,0.1967,0.082,1.1639,0.0,4.6557,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3612.0,494.0,6.2,0.8,56311.0
7,36,NEW YORK,NY,Herkimer,36043,"Herkimer County, New York",1411.51383369,63558.0,0.0,33368.0,160.0,25670.0,381.0,8738.0,708.0,2797.0,299.0,24678.0,672.0,4354.0,406.0,11935.0,41.0,13464.0,0.0,9127.0,544.0,2179.0,306.2,3175.0,85.0,343.0,115.1,1366.0,237.2,3251.0,229.0,386.0,119.0,2555.0,270.0,1246.0,255.0,14.0,1.1,8.8,0.9,24678.0,672.0,9.8,0.9,18.8,0.1,21.2,0.0,14.5,0.9,8.5,1.2,5.0,0.1,0.6,0.2,4.1,0.7,9.7,0.7,1.5,0.5,10.0,1.1,2.0,0.4,0.4754,0.8689,0.7705,0.2623,2.377,0.6721,0.8689,0.5738,0.5902,0.4426,2.4754,0.7869,0.0984,0.3279,0.4262,0.1311,0.459,0.6393,0.459,0.5574,0.2295,2.3443,0.377,7.623,0.5738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4840.0,438.0,7.7,0.7,54000.0
8,36,NEW YORK,NY,Madison,36053,"Madison County, New York",654.864343113,72089.0,0.0,31774.0,174.0,26121.0,442.0,7932.0,767.0,1700.0,281.0,26824.0,647.0,4576.0,487.0,11465.0,77.0,14602.0,0.0,8228.0,519.0,1898.0,276.0,4690.0,52.0,168.0,84.9,1103.0,187.3,2954.0,271.0,343.0,118.1,1678.0,271.0,5197.0,385.0,11.9,1.1,4.9,0.8,26824.0,647.0,9.6,1.0,15.9,0.1,20.3,0.0,11.5,0.7,7.3,1.0,6.5,0.1,0.2,0.1,3.5,0.6,9.3,0.9,1.3,0.5,6.4,1.0,7.2,0.5,0.2131,0.0,0.4754,0.2131,0.9016,0.1311,0.4262,0.377,0.1967,0.1639,1.1639,0.082,0.1967,0.0164,0.2131,0.0492,0.377,0.6066,0.2787,0.1475,0.8361,2.2459,0.3279,4.5246,0.0328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3822.0,458.0,5.3,0.6,65098.0
9,36,NEW YORK,NY,Monroe,36055,"Monroe County, New York",657.209815079,749236.0,0.0,324405.0,536.0,300289.0,1433.0,107724.0,2593.0,28735.0,1067.0,30194.0,312.0,48778.0,1445.0,116071.0,65.0,160974.0,45.0,96804.0,1865.0,30664.0,961.4,214811.0,532.0,16494.0,1126.1,32175.0,1085.4,2707.0,273.0,3130.0,371.7,35014.0,1033.0,26461.0,1149.0,14.9,0.4,7.3,0.3,30194.0,312.0,9.6,0.3,15.5,0.1,21.5,0.0,13.0,0.3,10.2,0.3,28.7,0.1,2.3,0.2,9.9,0.3,0.8,0.1,1.0,0.1,11.7,0.3,3.5,0.2,0.6066,0.541,0.2787,0.2131,1.6393,0.3934,0.3115,0.6557,0.2951,0.8197,2.082,0.5082,0.8361,0.7869,1.623,0.8197,0.8197,0.1475,0.0984,0.7541,0.459,2.2787,0.3443,7.623,0.5902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38585.0,1803.0,5.2,0.2,823890.0
