Year,County,Cases,Population,Percent,EP_AGE17,EP_AGE65,EP_CROWD,EP_DISABL,EP_GROUPQ,EP_LIMENG,EP_MINRTY,EP_MOBILE,EP_MUNIT,EP_NOHSDP,EP_NOVEH,EP_PCI,EP_POV,EP_SNGPNT,EP_UNEMP,EP_UNINSUR
2014,ALBANY,567.0000000000,307151.0000000000,0.0018459976,19.4000000000,14.6000000000,1.0000000000,11.2000000000,5.7000000000,1.5000000000,25.2000000000,1.3000000000,11.7000000000,7.5000000000,12.7000000000,32624.0000000000,13.6000000000,8.1000000000,6.8000000000,6.8000000000
2014,ALLEGANY,160.0000000000,47652.0000000000,0.0033576765,21.0000000000,15.9000000000,2.0000000000,14.8000000000,10.3000000000,0.6000000000,5.1000000000,16.5000000000,1.8000000000,11.9000000000,8.8000000000,20881.0000000000,17.0000000000,8.9000000000,9.7000000000,9.8000000000
2014,BRONX,4242.0000000000,1430942.0000000000,0.0029644807,26.0000000000,10.9000000000,11.7000000000,13.5000000000,3.0000000000,15.7000000000,89.5000000000,0.1000000000,67.1000000000,29.8000000000,59.8000000000,18269.0000000000,30.5000000000,21.6000000000,15.0000000000,14.8000000000
2014,BROOME,549.0000000000,197251.0000000000,0.0027832559,19.9000000000,16.9000000000,1.4000000000,14.0000000000,5.2000000000,1.1000000000,14.6000000000,5.2000000000,8.4000000000,10.5000000000,12.0000000000,24820.0000000000,17.8000000000,8.7000000000,8.6000000000,8.0000000000
2014,CATTARAUGUS,35.0000000000,78677.0000000000,0.0004448568,23.0000000000,16.1000000000,2.0000000000,14.8000000000,3.5000000000,1.0000000000,8.6000000000,11.8000000000,3.0000000000,11.8000000000,10.3000000000,22486.0000000000,17.7000000000,9.1000000000,8.9000000000,11.2000000000
2014,CAYUGA,171.0000000000,78762.0000000000,0.0021710977,21.0000000000,16.2000000000,1.0000000000,13.6000000000,5.1000000000,0.5000000000,9.0000000000,11.1000000000,5.9000000000,12.9000000000,9.7000000000,25070.0000000000,12.4000000000,10.0000000000,8.3000000000,9.5000000000
2014,CHAUTAUQUA,298.0000000000,131751.0000000000,0.0022618424,21.3000000000,17.2000000000,1.5000000000,14.9000000000,4.9000000000,1.2000000000,11.4000000000,6.6000000000,5.0000000000,12.0000000000,10.8000000000,22483.0000000000,19.4000000000,9.7000000000,8.5000000000,8.6000000000
2014,CHEMUNG,55.0000000000,87177.0000000000,0.0006309004,22.0000000000,15.9000000000,0.9000000000,14.2000000000,6.2000000000,0.5000000000,13.1000000000,5.4000000000,5.5000000000,10.6000000000,12.3000000000,25967.0000000000,16.0000000000,10.7000000000,6.1000000000,7.5000000000
2014,CHENANGO,172.0000000000,49319.0000000000,0.0034874997,21.8000000000,17.7000000000,1.9000000000,17.2000000000,1.4000000000,0.5000000000,4.8000000000,20.9000000000,2.3000000000,13.6000000000,6.9000000000,22339.0000000000,16.4000000000,8.6000000000,8.6000000000,9.3000000000
2014,CLINTON,70.0000000000,81463.0000000000,0.0008592858,18.7000000000,14.2000000000,1.5000000000,14.4000000000,9.5000000000,0.7000000000,9.4000000000,14.6000000000,5.7000000000,14.7000000000,9.5000000000,25279.0000000000,15.2000000000,9.4000000000,7.3000000000,6.2000000000
